date,label,ticker,r12
2025-09,Sep 25,BTC,6.72
2025-10,Oct 25,BTC,6.35
2025-11,Nov 25,BTC,6.43
2025-12,Dec 25,BTC,5.9
2026-01,Jan 26,BTC,4.46
2026-02,Feb 26,BTC,5.45
2026-03,Mar 26,BTC,5.2
2026-04,Apr 26,BTC,5.65
2026-05,May 26,BTC,5.4
2025-09,Sep 25,ETH,17.29
2025-10,Oct 25,ETH,18.11
2025-11,Nov 25,ETH,17.86
2025-12,Dec 25,ETH,17.41
2026-01,Jan 26,ETH,13.77
2026-02,Feb 26,ETH,15.69
2026-03,Mar 26,ETH,15.28
2026-04,Apr 26,ETH,13.81
2026-05,May 26,ETH,12.25
2025-09,Sep 25,BNB,9.18
2025-10,Oct 25,BNB,11.59
2025-11,Nov 25,BNB,11.68
2025-12,Dec 25,BNB,10.04
2026-01,Jan 26,BNB,8.89
2026-02,Feb 26,BNB,9.75
2026-03,Mar 26,BNB,8.85
2026-04,Apr 26,BNB,8.77
2026-05,May 26,BNB,9.13
2025-09,Sep 25,XRP,33.6
2025-10,Oct 25,XRP,35.32
2025-11,Nov 25,XRP,31.39
2025-12,Dec 25,XRP,24.3
2026-01,Jan 26,XRP,17.95
2026-02,Feb 26,XRP,19.71
2026-03,Mar 26,XRP,17.66
2026-04,Apr 26,XRP,16.39
2026-05,May 26,XRP,16.1
2025-09,Sep 25,SOL,23.48
2025-10,Oct 25,SOL,25.04
2025-11,Nov 25,SOL,24.54
2025-12,Dec 25,SOL,23.27
2026-01,Jan 26,SOL,18.07
2026-02,Feb 26,SOL,20.49
2026-03,Mar 26,SOL,18.72
2026-04,Apr 26,SOL,17.45
2026-05,May 26,SOL,16.02
2025-09,Sep 25,TRX,9.22
2025-11,Nov 25,TRX,8.15
2025-12,Dec 25,TRX,5.36
2026-01,Jan 26,TRX,3.6
2026-02,Feb 26,TRX,3.68
2026-03,Mar 26,TRX,3.36
2026-04,Apr 26,TRX,3.11
2026-05,May 26,TRX,2.78
2025-12,Dec 25,HYPE,56.51
2026-01,Jan 26,HYPE,39.67
2026-02,Feb 26,HYPE,44.67
2026-03,Mar 26,HYPE,39.91
2026-04,Apr 26,HYPE,34.38
2026-05,May 26,HYPE,33.77
2025-09,Sep 25,ZEC,44.38
2025-10,Oct 25,ZEC,63.36
2025-11,Nov 25,ZEC,78.4
2025-12,Dec 25,ZEC,77.09
2026-01,Jan 26,ZEC,71.55
2026-02,Feb 26,ZEC,76.06
2026-03,Mar 26,ZEC,76.51
2026-04,Apr 26,ZEC,72.17
2026-05,May 26,ZEC,72.99
2025-09,Sep 25,XLM,36.27
2025-10,Oct 25,XLM,38.81
2025-11,Nov 25,XLM,32.78
2025-12,Dec 25,XLM,25.04
2026-01,Jan 26,XLM,19.22
2026-02,Feb 26,XLM,21.27
2026-03,Mar 26,XLM,18.85
2026-04,Apr 26,XLM,17.82
2026-05,May 26,XLM,20.0
2025-09,Sep 25,ADA,36.76
2025-10,Oct 25,ADA,40.45
2025-11,Nov 25,ADA,35.77
